calibration method,metric,model,comb
ensemble temperature scaling,NLL,0.1831187971325468,0.22143975672107732
imax binning,ECE (W),0.011094362367894715,0.012395782395048396
imax binning,ECE (M),0.008615124913473285,0.01076598202749682
imax binning,cwECE (WT),0.03006118268857792,0.022380937085782104
imax binning,cwECE (MT),0.013603819355628396,0.010017218258615884
imax binning,cwECE (WNT),0.004952167449110815,0.003382643537869147
imax binning,cwECE (MNT),0.002606213922672649,0.0014256544811404493
imax binning,NLL,0.18673685168417045,0.2226766658873499
none,ECE (W),0.027906099547942438,0.015419192556665594
none,ECE (M),0.026772066285212837,0.015424009575799102
none,cwECE (WT),0.044664946584137756,0.026754002381631982
none,cwECE (MT),0.022622444581175395,0.010265487289632395
none,cwECE (WNT),0.007363916168283469,0.0039529856080867815
none,cwECE (MNT),0.0027309723399327494,0.0012117276546936436
none,NLL,0.21436798178767258,0.23038509893228637
confusion,ECE (W),0.006100856450108785,0.008247603072378708
confusion,ECE (M),0.01684149280676365,0.007945131344467997
confusion,cwECE (WT),0.016847355902764725,0.02105857823544018
confusion,cwECE (MT),0.016847355902764725,0.01277398967412926
confusion,cwECE (WNT),0.0028123649171135365,0.0030313346689037615
confusion,cwECE (MNT),0.004582726634773864,0.0019828094214808427
confusion,NLL,0.5804385882796221,0.5048853270181544
temperature scaling,ECE (W),0.009342781353231125,0.01215879508917055
temperature scaling,ECE (M),0.008198553417778047,0.01184016969201385
temperature scaling,cwECE (WT),0.034324551465347276,0.021807285373124978
temperature scaling,cwECE (MT),0.008168813620776644,0.011078942463319894
temperature scaling,cwECE (WNT),0.0049432704498600455,0.0032516224326821705
temperature scaling,cwECE (MNT),0.0016525585324463957,0.0012259826324501886
temperature scaling,NLL,0.17971808058032934,0.22228700925217804
ensemble temperature scaling,ECE (W),0.008304941253974268,0.012696642838207359
ensemble temperature scaling,ECE (M),0.007421290034818817,0.01157454859831182
ensemble temperature scaling,cwECE (WT),0.03438975344767894,0.023291209596523095
ensemble temperature scaling,cwECE (MT),0.009106586403609469,0.01098236732008489
ensemble temperature scaling,cwECE (WNT),0.005034900951450023,0.0033537898945607456
ensemble temperature scaling,cwECE (MNT),0.0018922115024106571,0.0012423698226664212
ensemble temperature scaling,NLL,0.1811665231501049,0.22245898251807822
imax binning,ECE (W),0.009936086347567138,0.013789679735075867
imax binning,ECE (M),0.008494419680900924,0.013198995831725452
imax binning,cwECE (WT),0.027403604471216612,0.01942948830037134
imax binning,cwECE (MT),0.008278172868225058,0.012362336925230184
imax binning,cwECE (WNT),0.004140630747947086,0.003114304424340317
imax binning,cwECE (MNT),0.0015427067629475843,0.0011767039837735386
imax binning,NLL,0.18335609484025145,0.22222525833789597
none,ECE (W),0.028717617640892687,0.015384291316729234
none,ECE (M),0.02620811290542284,0.01358768489869032
none,cwECE (WT),0.04923480717912221,0.026171343171381055
none,cwECE (MT),0.02471583610204243,0.013974863732442808
none,cwECE (WNT),0.008179080998561322,0.004058823392271213
none,cwECE (MNT),0.0038905136490416646,0.0014723437231916165
none,NLL,0.23403363869767793,0.3142335017863861
confusion,ECE (W),0.005571615717463872,0.012302119206861077
confusion,ECE (M),0.017950449056756627,0.011880907024400124
confusion,cwECE (WT),0.01790068052330753,0.0265620496641574
confusion,cwECE (MT),0.01790068052330753,0.015600069157610492
confusion,cwECE (WNT),0.0026456266520597494,0.003757310404095368
confusion,cwECE (MNT),0.0044943653574605474,0.0022740503139400134
confusion,NLL,0.4712530073601285,0.5458444265457735
temperature scaling,ECE (W),0.011273064684400296,0.012678301960867541
temperature scaling,ECE (M),0.009591231888639574,0.012386729184547498
temperature scaling,cwECE (WT),0.03887852559219708,0.023303671613447936
temperature scaling,cwECE (MT),0.01812642964870495,0.011507900815814164
temperature scaling,cwECE (WNT),0.005844733704930246,0.003558158704972535
temperature scaling,cwECE (MNT),0.0032438760273853866,0.001590087702637352
temperature scaling,NLL,0.19245335717904005,0.37530290990597437
ensemble temperature scaling,ECE (W),0.012571884252665698,0.013102005619341689
ensemble temperature scaling,ECE (M),0.009500047700088544,0.011903738351586736
ensemble temperature scaling,cwECE (WT),0.038233814030345106,0.02475107259439138
ensemble temperature scaling,cwECE (MT),0.017877113372654657,0.011502161097019056
ensemble temperature scaling,cwECE (WNT),0.005828174691565777,0.003701533860996953
ensemble temperature scaling,cwECE (MNT),0.00342228959755565,0.0016704669344925858
ensemble temperature scaling,NLL,0.19271783497798523,0.3801279381368868
imax binning,ECE (W),0.007105638793844025,0.013796669740554605
imax binning,ECE (M),0.006705638793844075,0.013434943990755094
imax binning,cwECE (WT),0.032099679138750316,0.023719753005537848
imax binning,cwECE (MT),0.016704309594545615,0.011958488708392442
imax binning,cwECE (WNT),0.005178199232438007,0.0036154569453721746
imax binning,cwECE (MNT),0.0027569035124709006,0.001614703809417531
imax binning,NLL,0.19613418173726097,0.38171408714292004
none,ECE (W),0.028966222842534417,0.015069405459130865
none,ECE (M),0.025185959180196126,0.014255337721338662
none,cwECE (WT),0.04982424980463106,0.02617721003366688
none,cwECE (MT),0.024945549978742838,0.010709998784285675
none,cwECE (WNT),0.007911809627934965,0.0038180024682195647
none,cwECE (MNT),0.0032637826306516947,0.001213334230541939
none,NLL,0.21168365889350954,0.277407554124685
confusion,ECE (W),0.014316136947301644,0.010900407008617798
confusion,ECE (M),0.017935493166926025,0.006482667958738859
confusion,cwECE (WT),0.018058558457868377,0.02466555514996213
confusion,cwECE (MT),0.018058558457868377,0.012824613723770587
confusion,cwECE (WNT),0.0029976449284895013,0.003521152320260451
confusion,cwECE (MNT),0.004557820220677873,0.002058769350382494
confusion,NLL,0.48898090756332824,0.5120857071178078
temperature scaling,ECE (W),0.00981599211054382,0.013859786686447578
temperature scaling,ECE (M),0.011154172291745316,0.011073692826110601
temperature scaling,cwECE (WT),0.039091638169153176,0.022603989599092433
temperature scaling,cwECE (MT),0.013260774992783969,0.01213002979326565
temperature scaling,cwECE (WNT),0.005482742915227007,0.0033387191205130977
temperature scaling,cwECE (MNT),0.0025822281653301356,0.0011781020011194141
temperature scaling,NLL,0.1768915638188048,0.3004451720239117
ensemble temperature scaling,ECE (W),0.011911973376437474,0.011820639865960606
ensemble temperature scaling,ECE (M),0.010102621416970409,0.010635069985067904
ensemble temperature scaling,cwECE (WT),0.036517517221379796,0.024853622366176404
ensemble temperature scaling,cwECE (MT),0.013115437931750396,0.01191757209670636
ensemble temperature scaling,cwECE (WNT),0.005367836454460044,0.0035091331944011295
ensemble temperature scaling,cwECE (MNT),0.0027738147567143204,0.001200214579659173
ensemble temperature scaling,NLL,0.1785962074279945,0.30266199801940924
imax binning,ECE (W),0.00933760316326698,0.01305661986067912
imax binning,ECE (M),0.007769421345106222,0.012297100869060777
imax binning,cwECE (WT),0.03179710689878955,0.019909774801685015
imax binning,cwECE (MT),0.013611319628666328,0.012411888145621488
imax binning,cwECE (WNT),0.005064455710606949,0.0032079846099479017
imax binning,cwECE (MNT),0.002239040956036693,0.0011669549650372194
imax binning,NLL,0.18400946179337707,0.3053067382032681
none,ECE (W),0.032682770897944836,0.018432142638102063
none,ECE (M),0.031478791683912266,0.017524124785860604
none,cwECE (WT),0.05062858763401005,0.029324548589135614
none,cwECE (MT),0.030686106326919184,0.016084105756392793
none,cwECE (WNT),0.0085925720349715,0.004587698978325588
none,cwECE (MNT),0.004585934283612841,0.0018910020311923962
none,NLL,0.24407759493840203,0.5132095132904853
confusion,ECE (W),0.002117319534353232,0.014198508291832656
confusion,ECE (M),0.01258842507006997,0.011385348632037232
confusion,cwECE (WT),0.01252456096882043,0.02939139276522405
confusion,cwECE (MT),0.01252456096882043,0.018149274419451168
confusion,cwECE (WNT),0.0024347072822817864,0.004416645262985012
confusion,cwECE (MNT),0.004091104548137133,0.002768140398015726
confusion,NLL,0.6334501872393068,0.9378003054535123
temperature scaling,ECE (W),0.009896959575960958,0.013119613446557009
temperature scaling,ECE (M),0.008667951354337716,0.012739759795796893
temperature scaling,cwECE (WT),0.04148429985124646,0.023163252890918952
temperature scaling,cwECE (MT),0.018680369202693715,0.012531041216627467
temperature scaling,cwECE (WNT),0.00584206729437564,0.0035997415687662434
temperature scaling,cwECE (MNT),0.0033805877003525893,0.001934158894336081
temperature scaling,NLL,0.19686748742279053,0.6043055416517444
ensemble temperature scaling,ECE (W),0.008881058948543507,0.013392465726243204
ensemble temperature scaling,ECE (M),0.010100036974844347,0.013105111421020402
ensemble temperature scaling,cwECE (WT),0.04248304014831245,0.02410309047998273
ensemble temperature scaling,cwECE (MT),0.020354849993384848,0.012840790242772775
ensemble temperature scaling,cwECE (WNT),0.006060919081141673,0.0037191047286296657
